"good.names","SporeName","SporeDim1_min","SporeDim1_max","SporeDim2_min","SporeDim2_max","Phylum","EquatorialAxis","PolarAxis","SporeVolume","Dimension_units","Volume_units","Source"
"Penicillium herquei","conidia",3.5,4,2.2,3,"Ascomycota",2.6,3.75,13.2732289614169,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium hirsutum","conidia",3,3.3,3,3.3,"Ascomycota",3.15,3.15,16.3655378802535,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium hispanicum","conidia",2,3,2,2.5,"Ascomycota",2.25,2.5,6.62679700366597,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium islandicum","conidia",3,3.5,2.5,3,"Ascomycota",2.75,3.25,12.8690761565019,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium italicum","conidia",4,5,2.5,3.5,"Ascomycota",3,4.5,21.2057504117311,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium janczewskii","conidia",3,3.5,3,3.5,"Ascomycota",3.25,3.25,17.9741642185854,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium janthinellum","conidia",3,3.5,3,3.5,"Ascomycota",3.25,3.25,17.9741642185854,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium jensenii","conidia",2,2.5,2,2.5,"Ascomycota",2.25,2.25,5.96411730329937,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium lanosum","conidia",2.5,3,2.5,3,"Ascomycota",2.75,2.75,10.8892182862709,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium lividum","conidia",3,4,2.6,3,"Ascomycota",2.8,3.5,14.3675504024173,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium oxalicum","conidia",4.5,6.5,3,4,"Ascomycota",3.5,5.5,35.2774675059354,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium purpurogenum","conidia",3,3.5,2.5,3,"Ascomycota",2.75,3.25,12.8690761565019,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium restrictum","conidia",2,2.5,2,2.5,"Ascomycota",2.25,2.25,5.96411730329937,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium rubrum","conidia",2.2,3.5,2,2.5,"Ascomycota",2.25,2.85,7.55454858417921,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium rugulosum","conidia",3,3.5,2.5,3,"Ascomycota",2.75,3.25,12.8690761565019,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium sacculum","conidia",5.5,6,3,3.5,"Ascomycota",3.25,5.75,31.8004443867279,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium scabrosum","conidia",3,3.5,3,3.5,"Ascomycota",3.25,3.25,17.9741642185854,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium simplicissimum","conidia",2.5,3,2.5,3,"Ascomycota",2.75,2.75,10.8892182862709,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium solitum","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium spinulosum","conidia",3,5.5,3,5.5,"Ascomycota",4.25,4.25,40.1943872580382,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium steckii","conidia",2,2.5,2,2.5,"Ascomycota",2.25,2.25,5.96411730329937,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium stoloniferum","conidia",2.5,3.5,2.5,3.5,"Ascomycota",3,3,14.1371669411541,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium thomii","conidia",3,3.5,3,3.5,"Ascomycota",3.25,3.25,17.9741642185854,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium variabile","conidia",3,3.5,2,2.5,"Ascomycota",2.25,3.25,8.61483610476576,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium viridicatum","conidia",3,4,3,4,"Ascomycota",3.5,3.5,22.4492975037771,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium vulpinum","conidia",4,4.5,3,3.5,"Ascomycota",3.25,4.25,23.5046762858424,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Penicillium westlingii","conidia",2,2.5,2,2.5,"Ascomycota",2.25,2.25,5.96411730329937,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Periconia macrospinosa","conidia",18,35,18,35,"Ascomycota",26.5,26.5,9743.97686434349,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Peziza  ostracoderma","conidia",5,13,5,13,"Ascomycota",9,9,381.70350741116,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phialophora cinerescens","conidia",3,5,2.5,3.5,"Ascomycota",3,4,18.8495559215388,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phialophora cyclaminis","conidia",1.5,2.5,1.5,2.5,"Ascomycota",2,2,4.18879020478639,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phitomyces chartarum","conidia",18,29,10,17,"Ascomycota",13.5,23.5,2242.50810604056,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phoma chrysanthemicola","conidia",3.5,6.5,1.5,3,"Ascomycota",2.25,5,13.2535940073319,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phoma eupyrena","conidia",3.5,6,1.5,3,"Ascomycota",2.25,4.75,12.5909143069653,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phoma exigua","conidia",4,8.5,2,3,"Ascomycota",2.5,6.25,20.4530771718085,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phoma glomerata","conidia",6,7.5,3,3.5,"Ascomycota",3.25,6.75,37.330956453985,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phoma herbarum","conidia",4.5,5,2,2.5,"Ascomycota",2.25,4.75,12.5909143069653,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phoma leveillei","conidia",3,7,1,3,"Ascomycota",2,5,10.471975511966,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phoma pinodella","conidia",4,9,2,4,"Ascomycota",3,6.5,30.6305283725005,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phoma pomorum","conidia",5,7,2,3.4,"Ascomycota",2.7,6,22.9022104446696,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phymatotrichopsis omnivora","conidia",6,8,5,6,"Ascomycota",5.5,7,110.87204073294,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Phytophtora cinnamomi","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Plectosphaerella cucumerina","conidia",8.2,13.5,2.2,3,"Ascomycota",2.6,10.85,38.4038757950328,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pleospora herbarum","conidia",24,38,15,26,"Ascomycota",20.5,31,6821.31394880074,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pleurostomophora richardsiae","conidia",8,16,1.5,3,"Ascomycota",2.25,12,31.8086256175967,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pochonia chlamydosporia catenulata","conidia",2.9,3.3,1.9,2.2,"Ascomycota",2.05,3.1,6.82131394880074,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pochonia chlamydosporia chlamydospria","conidia",3,4,1.5,2,"Ascomycota",1.75,3.5,5.61232437594427,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Preussia aemulans","conidia",2.5,3,1.5,2,"Ascomycota",1.75,2.75,4.40968343824192,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Preussia fleischhakii","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Preussia funiculata","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pseudallescheria boydii","conidia",6,14,3.5,6,"Ascomycota",4.75,10,118.136973744366,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pseudeurotium ovale","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pseudeurotium zonatum","conidia",4,6,2.5,3.5,"Ascomycota",3,5,23.5619449019235,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pseudobotrytis terrestris","conidia",6.5,9,2.8,3.5,"Ascomycota",3.15,7.75,40.2644185942744,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Pseudogymnoascus roseus","conidia",2,4.5,1.5,2.5,"Ascomycota",2,3.25,6.80678408277789,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Sagenomella diversispora","hyaline_conidia",3.5,5,1.5,2.5,"Ascomycota",2,4.25,8.90117918517108,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Sagenomella diversispora","pigmented_conidia",4.5,8.5,4,5.5,"Ascomycota",4.75,6.5,76.789032933838,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scelrotinia scelrotiorum","conidia",2.5,3.2,2.5,3.2,"Ascomycota",2.85,2.85,12.120853506172,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scolecobasidium constrictum","conidia",5,12.5,2,4,"Ascomycota",3,8.75,41.233403578366,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scolecobasidium humicola","conidia",7.5,15,2.8,4.5,"Ascomycota",3.65,11.25,78.4760027389688,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scolecobasidium salinum","conidia",30,45,4,7,"Ascomycota",5.5,37.5,593.95736106932,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scolecobasidium terreum","conidia",4,12,1.5,2.5,"Ascomycota",2,8,16.7551608191456,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scolecobasidium tshawytschae","conidia",9,20,2.5,4.5,"Ascomycota",3.5,14.5,93.0042325156478,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scopulariopsis acremonium","conidia",8,14,5,6,"Ascomycota",5.5,11,174.227492580334,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scopulariopsis brevicaulis","conidia",5,8,5,7,"Ascomycota",6,6.5,122.522113490002,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scopulariopsis brumtii","conidia",4.3,5.3,3.5,4.5,"Ascomycota",4,4.8,40.2123859659494,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scopulariopsis chartarum","conidia",4,5.5,3,4,"Ascomycota",3.5,4.75,30.466903755126,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Scopulariopsis fusca","conidia",5,8,5,7,"Ascomycota",6,6.5,122.522113490002,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Sordaria fimicola","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Sporothrix schenkii","conidia",2.5,5.5,1.5,2.5,"Ascomycota",2,4,8.37758040957278,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Stachybotrys chartarum","conidia",7,12,4,6,"Ascomycota",5,9.5,124.354709204596,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Stachybotrys echinata","conidia",3,6,3,6,"Ascomycota",4.5,4.5,47.712938426395,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Stachybotrys elegans","slender_conidia",10,16,3,6,"Ascomycota",4.5,13,137.837377676252,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Stachybotrys elegans","fusiform_conidia",8,14,6,9,"Ascomycota",7.5,11,323.976742401447,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Staphylotrichum coccosporum","conidia",10,12,10,12,"Ascomycota",11,11,696.909970321336,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Talaromyces emersonii","conidia",3.5,5,1.5,2.7,"Ascomycota",2.1,4.25,9.81355005165112,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Talaromyces flavus","conidia",2.2,3.5,2,2.5,"Ascomycota",2.25,2.85,7.55454858417921,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Talaromyces helicus helicus","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Talaromyces trachyspermus","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Talaromyces wortmannii","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Tetracladium setigerum","conidia",12,15,3,5,"Ascomycota",4,13.5,113.097335529233,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Thanatephorus cucumeris","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Thelebolus polysporus","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Thelebolus stercoreus","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Thermoascus aurantiacus","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Thermomyces lanuginosus","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Thielavia heterothallica","conidia",5,7,3,4,"Ascomycota",3.5,6,38.484510006475,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Thielavia terricola","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Thielaviopsis basicola","conidia",7.5,19,3,5,"Ascomycota",4,13.25,111.002940426839,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Torula herbarum herbarum","conidia",20,70,5,9,"Ascomycota",7,45,1154.53530019425,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Torulomyces lagena","conidia",2,3,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Tricellula aquatica","conidia",4.5,6,2.2,2.5,"Ascomycota",2.35,5.25,15.1807647507684,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichocladium asperum","conidia",16,25,10,15,"Ascomycota",12.5,20.5,1677.1523280883,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichocladium opacum","conidia",20,40,10,16,"Ascomycota",13,30,2654.64579228338,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichoderma hamatum","conidia",3,4.5,2.1,2.8,"Ascomycota",2.45,3.75,11.785881189483,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichoderma harzianum","conidia",2.8,3.2,2.5,2.8,"Ascomycota",2.65,3,11.0309172049172,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichoderma koningii","conidia",3,4.8,1.9,2.8,"Ascomycota",2.35,3.9,11.2771395291423,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichoderma polysporum","conidia",2.4,3.8,1.8,2.2,"Ascomycota",2,3.1,6.4926248174189,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichoderma virens","conidia",4.5,6,3.5,4,"Ascomycota",3.75,5.25,38.6563158547182,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichoderma viride","conidia",3.6,4.5,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichosporiella cerebriformis","conidia",3.5,6,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichosporon laibachii","blastoconidia",3,4.5,3,4.5,"Ascomycota",3.75,3.75,27.6116541819415,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichosporon laibachii","arthroconidia",5,20,3,4,"Ascomycota",3.5,12.5,80.1760625134895,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichothecium roseum","conidia",12,23,8,10,"Ascomycota",9,17.5,742.201264410589,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Trichurus spiralis","conidia",4,6,3.5,4.2,"Ascomycota",3.85,5,38.8052142565289,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Typhula ishikariensis canadensis","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Typhula ishikariensis idahoensis","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Typhula ishikariensis ishikariensis","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Ulocladium consortiale","conidia",16,34,10,15,"Ascomycota",12.5,25,2045.30771718085,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis angularis","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis isabellina","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis nana","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis ramanniana","conidia",2.5,5.5,1.5,3,"Ascomycota",2.25,4,10.6028752058656,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis vinacea","conidia",3,5,3,5,"Ascomycota",4,4,33.5103216382911,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Varicosporium elodae","conidia",60,120,3,3,"Ascomycota",3,90,424.115008234622,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Verticillium albo-atrum","conidia",3.5,10.5,2,5,"Ascomycota",3.5,7,44.8985950075541,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Verticillium dahliae","conidia",2.5,6,1.4,3.2,"Ascomycota",2.3,4.25,11.7718094723888,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Verticillium nubilum","conidia",4,10,2.5,3.5,"Ascomycota",3,7,32.9867228626928,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Volutella ciliata","conidia",4,6,1.5,2,"Ascomycota",1.75,5,8.01760625134895,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Wallemia sebi","conidia",2.5,3.5,2.5,3.5,"Ascomycota",3,3,14.1371669411541,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Wardomyces columbinus","conidia",6,7.5,2.5,4,"Ascomycota",3.25,6.75,37.330956453985,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Wardomyces simplex","conidia",6.5,8.5,3,5.5,"Ascomycota",4.25,7.5,70.931271631832,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
